metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2009,"Adams County",CO,us-co-001,53779
Metropolitan,2009,"Arapahoe County",CO,us-co-005,56099
Metropolitan,2009,"Boulder County",CO,us-co-013,63757
Metropolitan,2009,"Broomfield County",CO,us-co-014,77606
Metropolitan,2009,"Clear Creek County",CO,us-co-019,64241
Metropolitan,2009,"Denver County",CO,us-co-031,46693
Metropolitan,2009,"Douglas County",CO,us-co-035,100447
Metropolitan,2009,"El Paso County",CO,us-co-041,55621
Metropolitan,2009,"Elbert County",CO,us-co-039,77123
Metropolitan,2009,"Gilpin County",CO,us-co-047,59632
Metropolitan,2009,"Jefferson County",CO,us-co-059,66059
Metropolitan,2009,"Larimer County",CO,us-co-069,56281
Metropolitan,2009,"Mesa County",CO,us-co-077,52290
Metropolitan,2009,"Park County",CO,us-co-093,61127
Metropolitan,2009,"Pueblo County",CO,us-co-101,39016
Metropolitan,2009,"Teller County",CO,us-co-119,53928
Metropolitan,2009,"Weld County",CO,us-co-123,54578
Metropolitan,2010,"Adams County",CO,us-co-001,52785
Metropolitan,2010,"Arapahoe County",CO,us-co-005,58152
Metropolitan,2010,"Boulder County",CO,us-co-013,62215
Metropolitan,2010,"Broomfield County",CO,us-co-014,76006
Metropolitan,2010,"Clear Creek County",CO,us-co-019,64822
Metropolitan,2010,"Denver County",CO,us-co-031,45415
Metropolitan,2010,"Douglas County",CO,us-co-035,97806
Metropolitan,2010,"El Paso County",CO,us-co-041,51553
Metropolitan,2010,"Elbert County",CO,us-co-039,78550
Metropolitan,2010,"Gilpin County",CO,us-co-047,63024
Metropolitan,2010,"Jefferson County",CO,us-co-059,64181
Metropolitan,2010,"Larimer County",CO,us-co-069,54739
Metropolitan,2010,"Mesa County",CO,us-co-077,47324
Metropolitan,2010,"Park County",CO,us-co-093,66400
Metropolitan,2010,"Pueblo County",CO,us-co-101,39107
Metropolitan,2010,"Teller County",CO,us-co-119,59966
Metropolitan,2010,"Weld County",CO,us-co-123,52334
Metropolitan,2011,"Adams County",CO,us-co-001,52429
Metropolitan,2011,"Arapahoe County",CO,us-co-005,57042
Metropolitan,2011,"Boulder County",CO,us-co-013,68101
Metropolitan,2011,"Broomfield County",CO,us-co-014,79051
Metropolitan,2011,"Clear Creek County",CO,us-co-019,65420
Metropolitan,2011,"Denver County",CO,us-co-031,47584
