metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,"Barnstable County",MA,us-ma-001,80.6
Metropolitan,2010,"Berkshire County",MA,us-ma-003,80.13
Metropolitan,2010,"Bristol County",MA,us-ma-005,79.29
Metropolitan,2010,"Essex County",MA,us-ma-009,80.47
Metropolitan,2010,"Hampden County",MA,us-ma-013,78.72
Metropolitan,2010,"Hampshire County",MA,us-ma-015,80.59
Metropolitan,2010,"Middlesex County",MA,us-ma-017,81.33
Metropolitan,2010,"Norfolk County",MA,us-ma-021,81.31
Metropolitan,2010,"Plymouth County",MA,us-ma-023,79.4
Metropolitan,2010,"Suffolk County",MA,us-ma-025,79.21
Metropolitan,2010,"Worcester County",MA,us-ma-027,79.65
Metropolitan,2014,"Barnstable County",MA,us-ma-001,80.75
Metropolitan,2014,"Berkshire County",MA,us-ma-003,80.12
Metropolitan,2014,"Bristol County",MA,us-ma-005,79.2
Metropolitan,2014,"Essex County",MA,us-ma-009,80.51
Metropolitan,2014,"Hampden County",MA,us-ma-013,78.85
Metropolitan,2014,"Hampshire County",MA,us-ma-015,80.76
Metropolitan,2014,"Middlesex County",MA,us-ma-017,81.63
Metropolitan,2014,"Norfolk County",MA,us-ma-021,81.38
Metropolitan,2014,"Plymouth County",MA,us-ma-023,79.63
Metropolitan,2014,"Suffolk County",MA,us-ma-025,79.89
Metropolitan,2014,"Worcester County",MA,us-ma-027,79.66
Nonmetropolitan,2010,"Dukes County",MA,us-ma-007,81.64
Nonmetropolitan,2010,"Franklin County",MA,us-ma-011,80.2
Nonmetropolitan,2010,"Nantucket County",MA,us-ma-019,81.17
Nonmetropolitan,2014,"Dukes County",MA,us-ma-007,82.05
Nonmetropolitan,2014,"Franklin County",MA,us-ma-011,80.27
Nonmetropolitan,2014,"Nantucket County",MA,us-ma-019,81.6
