metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,"Anchorage",AK,us-ak-020,78.62
Metropolitan,2010,"Fairbanks North Star",AK,us-ak-090,79.25
Metropolitan,2010,"Matanuska-Susitna",AK,us-ak-170,78.02
Metropolitan,2010,"Autauga",AL,us-al-001,75.74
Metropolitan,2010,"Baldwin",AL,us-al-003,77.8
Metropolitan,2010,"Bibb",AL,us-al-007,74.13
Metropolitan,2010,"Blount",AL,us-al-009,76.41
Metropolitan,2010,"Calhoun",AL,us-al-015,74.11
Metropolitan,2010,"Chilton",AL,us-al-021,74.5
Metropolitan,2010,"Colbert",AL,us-al-033,75.26
Metropolitan,2010,"Elmore",AL,us-al-051,75.95
Metropolitan,2010,"Etowah",AL,us-al-055,73.86
Metropolitan,2010,"Geneva",AL,us-al-061,75.65
Metropolitan,2010,"Hale",AL,us-al-065,73.93
Metropolitan,2010,"Henry",AL,us-al-067,75.82
Metropolitan,2010,"Houston",AL,us-al-069,76.7
Metropolitan,2010,"Jefferson",AL,us-al-073,75.11
Metropolitan,2010,"Lauderdale",AL,us-al-077,76.55
Metropolitan,2010,"Lawrence",AL,us-al-079,74.55
Metropolitan,2010,"Lee",AL,us-al-081,77.17
Metropolitan,2010,"Limestone",AL,us-al-083,77.15
Metropolitan,2010,"Lowndes",AL,us-al-085,72.78
Metropolitan,2010,"Madison",AL,us-al-089,77.79
Metropolitan,2010,"Mobile",AL,us-al-097,74.95
Metropolitan,2010,"Montgomery",AL,us-al-101,75.93
Metropolitan,2010,"Morgan",AL,us-al-103,75.92
Metropolitan,2010,"Pickens",AL,us-al-107,74.66
Metropolitan,2010,"Russell",AL,us-al-113,73.87
Metropolitan,2010,"Shelby",AL,us-al-117,79.18
Metropolitan,2010,"St. Clair",AL,us-al-115,75.35
Metropolitan,2010,"Tuscaloosa",AL,us-al-125,75.86
Metropolitan,2010,"Walker",AL,us-al-127,72.12
Metropolitan,2010,"Benton",AR,us-ar-007,79.53
Metropolitan,2010,"Cleveland",AR,us-ar-025,76.17
Metropolitan,2010,"Craighead",AR,us-ar-031,76.08
Metropolitan,2010,"Crawford",AR,us-ar-033,75.97
Metropolitan,2010,"Crittenden",AR,us-ar-035,72.35
Metropolitan,2010,"Faulkner",AR,us-ar-045,77.31
Metropolitan,2010,"Garland",AR,us-ar-051,75.81
Metropolitan,2010,"Grant",AR,us-ar-053,76.08
Metropolitan,2010,"Jefferson",AR,us-ar-069,74.51
Metropolitan,2010,"Lincoln",AR,us-ar-079,76.34
Metropolitan,2010,"Little River",AR,us-ar-081,75.19
Metropolitan,2010,"Lonoke",AR,us-ar-085,75.92
Metropolitan,2010,"Madison",AR,us-ar-087,76.52
Metropolitan,2010,"Miller",AR,us-ar-091,75.75
Metropolitan,2010,"Perry",AR,us-ar-105,75.59
Metropolitan,2010,"Poinsett",AR,us-ar-111,72.58
