metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,"Adams County",CO,us-co-001,32.4
Metropolitan,2010,"Arapahoe County",CO,us-co-005,35.7
Metropolitan,2010,"Boulder County",CO,us-co-013,35.6
Metropolitan,2010,"Broomfield County",CO,us-co-014,36.4
Metropolitan,2010,"Clear Creek County",CO,us-co-019,46.7
Metropolitan,2010,"Denver County",CO,us-co-031,33.7
Metropolitan,2010,"Douglas County",CO,us-co-035,36.6
Metropolitan,2010,"El Paso County",CO,us-co-041,33.9
Metropolitan,2010,"Elbert County",CO,us-co-039,43.9
Metropolitan,2010,"Gilpin County",CO,us-co-047,45.8
Metropolitan,2010,"Jefferson County",CO,us-co-059,40.4
Metropolitan,2010,"Larimer County",CO,us-co-069,35.4
Metropolitan,2010,"Mesa County",CO,us-co-077,38.2
Metropolitan,2010,"Park County",CO,us-co-093,47.1
Metropolitan,2010,"Pueblo County",CO,us-co-101,38.7
Metropolitan,2010,"Teller County",CO,us-co-119,47.1
Metropolitan,2010,"Weld County",CO,us-co-123,33.2
Metropolitan,2011,"Adams County",CO,us-co-001,32.7
Metropolitan,2011,"Arapahoe County",CO,us-co-005,36
Metropolitan,2011,"Boulder County",CO,us-co-013,35.6
Metropolitan,2011,"Broomfield County",CO,us-co-014,36.8
Metropolitan,2011,"Clear Creek County",CO,us-co-019,47.5
Metropolitan,2011,"Denver County",CO,us-co-031,33.8
Metropolitan,2011,"Douglas County",CO,us-co-035,37
Metropolitan,2011,"El Paso County",CO,us-co-041,33.8
Metropolitan,2011,"Elbert County",CO,us-co-039,44.5
Metropolitan,2011,"Gilpin County",CO,us-co-047,46.1
Metropolitan,2011,"Jefferson County",CO,us-co-059,40.6
Metropolitan,2011,"Larimer County",CO,us-co-069,35.5
Metropolitan,2011,"Mesa County",CO,us-co-077,38.1
Metropolitan,2011,"Park County",CO,us-co-093,48.3
Metropolitan,2011,"Pueblo County",CO,us-co-101,38.8
Metropolitan,2011,"Teller County",CO,us-co-119,47.7
Metropolitan,2011,"Weld County",CO,us-co-123,33.5
Metropolitan,2012,"Adams County",CO,us-co-001,32.9
Metropolitan,2012,"Arapahoe County",CO,us-co-005,36.1
Metropolitan,2012,"Boulder County",CO,us-co-013,35.7
Metropolitan,2012,"Broomfield County",CO,us-co-014,37.1
Metropolitan,2012,"Clear Creek County",CO,us-co-019,48.2
Metropolitan,2012,"Denver County",CO,us-co-031,34
Metropolitan,2012,"Douglas County",CO,us-co-035,37.3
Metropolitan,2012,"El Paso County",CO,us-co-041,33.7
Metropolitan,2012,"Elbert County",CO,us-co-039,45.3
Metropolitan,2012,"Gilpin County",CO,us-co-047,46.5
Metropolitan,2012,"Jefferson County",CO,us-co-059,40.7
Metropolitan,2012,"Larimer County",CO,us-co-069,35.5
Metropolitan,2012,"Mesa County",CO,us-co-077,38.2
Metropolitan,2012,"Park County",CO,us-co-093,49.1
Metropolitan,2012,"Pueblo County",CO,us-co-101,38.9
Metropolitan,2012,"Teller County",CO,us-co-119,48.1
Metropolitan,2012,"Weld County",CO,us-co-123,33.8
Metropolitan,2013,"Adams County",CO,us-co-001,33.1
Metropolitan,2013,"Arapahoe County",CO,us-co-005,36.2
Metropolitan,2013,"Boulder County",CO,us-co-013,35.8
Metropolitan,2013,"Broomfield County",CO,us-co-014,37.4
Metropolitan,2013,"Clear Creek County",CO,us-co-019,48.8
Metropolitan,2013,"Denver County",CO,us-co-031,34.1
Metropolitan,2013,"Douglas County",CO,us-co-035,37.6
Metropolitan,2013,"El Paso County",CO,us-co-041,33.7
Metropolitan,2013,"Elbert County",CO,us-co-039,45.5
Metropolitan,2013,"Gilpin County",CO,us-co-047,47.3
Metropolitan,2013,"Jefferson County",CO,us-co-059,40.7
Metropolitan,2013,"Larimer County",CO,us-co-069,35.6
Metropolitan,2013,"Mesa County",CO,us-co-077,38.3
Metropolitan,2013,"Park County",CO,us-co-093,49.7
Metropolitan,2013,"Pueblo County",CO,us-co-101,39
Metropolitan,2013,"Teller County",CO,us-co-119,49
Metropolitan,2013,"Weld County",CO,us-co-123,34
Metropolitan,2014,"Adams County",CO,us-co-001,33.3
Metropolitan,2014,"Arapahoe County",CO,us-co-005,36.3
