metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2010,"Barnstable County",MA,us-ma-001,50
Metropolitan,2010,"Berkshire County",MA,us-ma-003,44.7
Metropolitan,2010,"Bristol County",MA,us-ma-005,39.9
Metropolitan,2010,"Essex County",MA,us-ma-009,40.4
Metropolitan,2010,"Hampden County",MA,us-ma-013,38.6
Metropolitan,2010,"Hampshire County",MA,us-ma-015,36.1
Metropolitan,2010,"Middlesex County",MA,us-ma-017,38.5
Metropolitan,2010,"Norfolk County",MA,us-ma-021,40.7
Metropolitan,2010,"Plymouth County",MA,us-ma-023,41.1
Metropolitan,2010,"Suffolk County",MA,us-ma-025,31.5
Metropolitan,2010,"Worcester County",MA,us-ma-027,39.2
Metropolitan,2011,"Barnstable County",MA,us-ma-001,50.4
Metropolitan,2011,"Berkshire County",MA,us-ma-003,45.1
Metropolitan,2011,"Bristol County",MA,us-ma-005,40.2
Metropolitan,2011,"Essex County",MA,us-ma-009,40.5
Metropolitan,2011,"Hampden County",MA,us-ma-013,38.6
Metropolitan,2011,"Hampshire County",MA,us-ma-015,35.8
Metropolitan,2011,"Middlesex County",MA,us-ma-017,38.5
Metropolitan,2011,"Norfolk County",MA,us-ma-021,40.8
Metropolitan,2011,"Plymouth County",MA,us-ma-023,41.5
Metropolitan,2011,"Suffolk County",MA,us-ma-025,31.8
Metropolitan,2011,"Worcester County",MA,us-ma-027,39.4
Metropolitan,2012,"Barnstable County",MA,us-ma-001,50.9
Metropolitan,2012,"Berkshire County",MA,us-ma-003,45.5
Metropolitan,2012,"Bristol County",MA,us-ma-005,40.4
Metropolitan,2012,"Essex County",MA,us-ma-009,40.7
Metropolitan,2012,"Hampden County",MA,us-ma-013,38.6
Metropolitan,2012,"Hampshire County",MA,us-ma-015,35.7
Metropolitan,2012,"Middlesex County",MA,us-ma-017,38.4
Metropolitan,2012,"Norfolk County",MA,us-ma-021,41
Metropolitan,2012,"Plymouth County",MA,us-ma-023,41.9
Metropolitan,2012,"Suffolk County",MA,us-ma-025,32.1
Metropolitan,2012,"Worcester County",MA,us-ma-027,39.7
Metropolitan,2013,"Barnstable County",MA,us-ma-001,51.4
Metropolitan,2013,"Berkshire County",MA,us-ma-003,45.8
Metropolitan,2013,"Bristol County",MA,us-ma-005,40.7
Metropolitan,2013,"Essex County",MA,us-ma-009,40.8
Metropolitan,2013,"Hampden County",MA,us-ma-013,38.6
Metropolitan,2013,"Hampshire County",MA,us-ma-015,35.6
Metropolitan,2013,"Middlesex County",MA,us-ma-017,38.4
Metropolitan,2013,"Norfolk County",MA,us-ma-021,41
Metropolitan,2013,"Plymouth County",MA,us-ma-023,42.2
Metropolitan,2013,"Suffolk County",MA,us-ma-025,32.3
Metropolitan,2013,"Worcester County",MA,us-ma-027,39.8
Metropolitan,2014,"Barnstable County",MA,us-ma-001,51.9
Metropolitan,2014,"Berkshire County",MA,us-ma-003,46.2
Metropolitan,2014,"Bristol County",MA,us-ma-005,40.8
Metropolitan,2014,"Essex County",MA,us-ma-009,40.8
Metropolitan,2014,"Hampden County",MA,us-ma-013,38.5
Metropolitan,2014,"Hampshire County",MA,us-ma-015,35.7
Metropolitan,2014,"Middlesex County",MA,us-ma-017,38.4
Metropolitan,2014,"Norfolk County",MA,us-ma-021,41
Metropolitan,2014,"Plymouth County",MA,us-ma-023,42.5
Metropolitan,2014,"Suffolk County",MA,us-ma-025,32.5
Metropolitan,2014,"Worcester County",MA,us-ma-027,39.9
Metropolitan,2015,"Barnstable County",MA,us-ma-001,52.5
Metropolitan,2015,"Berkshire County",MA,us-ma-003,46.6
Metropolitan,2015,"Bristol County",MA,us-ma-005,41
Metropolitan,2015,"Essex County",MA,us-ma-009,40.8
Metropolitan,2015,"Hampden County",MA,us-ma-013,38.5
Metropolitan,2015,"Hampshire County",MA,us-ma-015,35.9
Metropolitan,2015,"Middlesex County",MA,us-ma-017,38.4
Metropolitan,2015,"Norfolk County",MA,us-ma-021,41
Metropolitan,2015,"Plymouth County",MA,us-ma-023,42.6
Metropolitan,2015,"Suffolk County",MA,us-ma-025,32.7
Metropolitan,2015,"Worcester County",MA,us-ma-027,40
Metropolitan,2016,"Barnstable County",MA,us-ma-001,52.9
Metropolitan,2016,"Berkshire County",MA,us-ma-003,46.9
