metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2011,"Adams County",CO,us-co-001,0.37946787321982
Metropolitan,2011,"Arapahoe County",CO,us-co-005,0.3432267155036
Metropolitan,2011,"Boulder County",CO,us-co-013,0.36110230043826
Metropolitan,2011,"Broomfield County",CO,us-co-014,0.34534364009379
Metropolitan,2011,"Clear Creek County",CO,us-co-019,0.23527468897941
Metropolitan,2011,"Denver County",CO,us-co-031,0.31810291833966
Metropolitan,2011,"Douglas County",CO,us-co-035,0.35906471923404
Metropolitan,2011,"El Paso County",CO,us-co-041,0.37006462460969
Metropolitan,2011,"Elbert County",CO,us-co-039,0.31689925193578
Metropolitan,2011,"Gilpin County",CO,us-co-047,0.22915474146155
Metropolitan,2011,"Jefferson County",CO,us-co-059,0.30994113590973
Metropolitan,2011,"Larimer County",CO,us-co-069,0.36037986268477
Metropolitan,2011,"Mesa County",CO,us-co-077,0.33448461655361
Metropolitan,2011,"Park County",CO,us-co-093,0.25087643766529
Metropolitan,2011,"Pueblo County",CO,us-co-101,0.33974902814886
Metropolitan,2011,"Teller County",CO,us-co-119,0.26186238332972
Metropolitan,2011,"Weld County",CO,us-co-123,0.38844635144763
Metropolitan,2017,"Adams County",CO,us-co-001,0.36334939018141
Metropolitan,2017,"Arapahoe County",CO,us-co-005,0.3272535476499
Metropolitan,2017,"Boulder County",CO,us-co-013,0.35047761552108
Metropolitan,2017,"Broomfield County",CO,us-co-014,0.31467106388936
Metropolitan,2017,"Clear Creek County",CO,us-co-019,0.23236469698606
Metropolitan,2017,"Denver County",CO,us-co-031,0.2879123081889
Metropolitan,2017,"Douglas County",CO,us-co-035,0.34868822832928
Metropolitan,2017,"El Paso County",CO,us-co-041,0.35957417171241
Metropolitan,2017,"Elbert County",CO,us-co-039,0.29507595813139
Metropolitan,2017,"Gilpin County",CO,us-co-047,0.22458139133437
Metropolitan,2017,"Jefferson County",CO,us-co-059,0.28657569025706
Metropolitan,2017,"Larimer County",CO,us-co-069,0.34960238808856
Metropolitan,2017,"Mesa County",CO,us-co-077,0.31877444589309
Metropolitan,2017,"Park County",CO,us-co-093,0.21544378698225
Metropolitan,2017,"Pueblo County",CO,us-co-101,0.32396797414426
Metropolitan,2017,"Teller County",CO,us-co-119,0.24569817829947
Metropolitan,2017,"Weld County",CO,us-co-123,0.36362077353016
Nonmetropolitan,2011,"Alamosa County",CO,us-co-003,0.40012991230919
