metro_nonmetro,year,county_name,state_abbr,indicator,value
Metropolitan,2017,Anchorage (B),AK,doctors-per-10000,0.00352612695429
Metropolitan,2017,Fairbanks North Star (B),AK,doctors-per-10000,0.00189954633175
Metropolitan,2017,Matanuska-Susitna (B),AK,doctors-per-10000,0.00094786729858
Metropolitan,2017,Autauga,AL,doctors-per-10000,0.00068344094531
Metropolitan,2017,Baldwin,AL,doctors-per-10000,0.00191265101687
Metropolitan,2017,Bibb,AL,doctors-per-10000,0.00071428571429
Metropolitan,2017,Blount,AL,doctors-per-10000,0.00025933609959
Metropolitan,2017,Calhoun,AL,doctors-per-10000,0.00167137744253
Metropolitan,2017,Chilton,AL,doctors-per-10000,0.00045297035309
Metropolitan,2017,Colbert,AL,doctors-per-10000,0.00135130199774
Metropolitan,2017,Elmore,AL,doctors-per-10000,0.00037857046906
Metropolitan,2017,Etowah,AL,doctors-per-10000,0.00205851650228
Metropolitan,2017,Geneva,AL,doctors-per-10000,0.00041802842593
Metropolitan,2017,Greene,AL,doctors-per-10000,0.00072877444431
Metropolitan,2017,Hale,AL,doctors-per-10000,0.00033953551541
Metropolitan,2017,Henry,AL,doctors-per-10000,0.00023243651578
Metropolitan,2017,Houston,AL,doctors-per-10000,0.00325624033154
Metropolitan,2017,Jefferson,AL,doctors-per-10000,0.00616411345366
Metropolitan,2017,Lauderdale,AL,doctors-per-10000,0.00182926169266
Metropolitan,2017,Lawrence,AL,doctors-per-10000,0.00018205540553
Metropolitan,2017,Lee,AL,doctors-per-10000,0.00121995107996
Metropolitan,2017,Limestone,AL,doctors-per-10000,0.00065506269886
Metropolitan,2017,Lowndes,AL,doctors-per-10000,0.00010026067776
Metropolitan,2017,Madison,AL,doctors-per-10000,0.00272018640234
Metropolitan,2017,Mobile,AL,doctors-per-10000,0.00298001000587
Metropolitan,2017,Montgomery,AL,doctors-per-10000,0.00291456084478
Metropolitan,2017,Morgan,AL,doctors-per-10000,0.00119238552679
Metropolitan,2017,Pickens,AL,doctors-per-10000,0.00045139933795
Metropolitan,2017,Russell,AL,doctors-per-10000,0.00055381526799
Metropolitan,2017,Shelby,AL,doctors-per-10000,0.00251266764639
Metropolitan,2017,St. Clair,AL,doctors-per-10000,0.00027060547976
Metropolitan,2017,Tuscaloosa,AL,doctors-per-10000,0.00229762913394
Metropolitan,2017,Washington,AL,doctors-per-10000,0.0003052875809
Metropolitan,2017,Benton,AR,doctors-per-10000,0.00134258715812
