metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2007,"Adams County",CO,us-co-001,0.04214793222809
Metropolitan,2007,"Arapahoe County",CO,us-co-005,0.03744018785686
Metropolitan,2007,"Boulder County",CO,us-co-013,0.03279066151445
Metropolitan,2007,"Broomfield County",CO,us-co-014,0.03521878335112
Metropolitan,2007,"Clear Creek County",CO,us-co-019,0.03665014164306
Metropolitan,2007,"Denver County",CO,us-co-031,0.04139703476385
Metropolitan,2007,"Douglas County",CO,us-co-035,0.03115138138661
Metropolitan,2007,"El Paso County",CO,us-co-041,0.04247480621458
Metropolitan,2007,"Elbert County",CO,us-co-039,0.03680262541022
Metropolitan,2007,"Gilpin County",CO,us-co-047,0.03485647334505
Metropolitan,2007,"Jefferson County",CO,us-co-059,0.03649165834314
Metropolitan,2007,"Larimer County",CO,us-co-069,0.03371622564293
Metropolitan,2007,"Mesa County",CO,us-co-077,0.03160273779102
Metropolitan,2007,"Park County",CO,us-co-093,0.03603415955009
Metropolitan,2007,"Pueblo County",CO,us-co-101,0.04702818627451
Metropolitan,2007,"Teller County",CO,us-co-119,0.03858236004833
Metropolitan,2007,"Weld County",CO,us-co-123,0.04077953590103
Metropolitan,2008,"Adams County",CO,us-co-001,0.05397556224544
Metropolitan,2008,"Arapahoe County",CO,us-co-005,0.04885974732129
Metropolitan,2008,"Boulder County",CO,us-co-013,0.04149386945546
Metropolitan,2008,"Broomfield County",CO,us-co-014,0.04516275450655
Metropolitan,2008,"Clear Creek County",CO,us-co-019,0.04582448690729
Metropolitan,2008,"Denver County",CO,us-co-031,0.05375732196869
Metropolitan,2008,"Douglas County",CO,us-co-035,0.04178520404994
Metropolitan,2008,"El Paso County",CO,us-co-041,0.05660113388806
Metropolitan,2008,"Elbert County",CO,us-co-039,0.04792626728111
Metropolitan,2008,"Gilpin County",CO,us-co-047,0.0420870567887
Metropolitan,2008,"Jefferson County",CO,us-co-059,0.04685013025655
Metropolitan,2008,"Larimer County",CO,us-co-069,0.04231498943122
Metropolitan,2008,"Mesa County",CO,us-co-077,0.03889975550122
Metropolitan,2008,"Park County",CO,us-co-093,0.04763380863815
Metropolitan,2008,"Pueblo County",CO,us-co-101,0.06082150655022
Metropolitan,2008,"Teller County",CO,us-co-119,0.05497190324945
Metropolitan,2008,"Weld County",CO,us-co-123,0.05226653663786
Metropolitan,2009,"Adams County",CO,us-co-001,0.08464176378615
Metropolitan,2009,"Arapahoe County",CO,us-co-005,0.07252869627548
Metropolitan,2009,"Boulder County",CO,us-co-013,0.06126437174535
Metropolitan,2009,"Broomfield County",CO,us-co-014,0.06882801102286
Metropolitan,2009,"Clear Creek County",CO,us-co-019,0.07187615186141
Metropolitan,2009,"Denver County",CO,us-co-031,0.0810681647201
Metropolitan,2009,"Douglas County",CO,us-co-035,0.06165669837925
Metropolitan,2009,"El Paso County",CO,us-co-041,0.07874401284366
Metropolitan,2009,"Elbert County",CO,us-co-039,0.06989870872961
Metropolitan,2009,"Gilpin County",CO,us-co-047,0.06040816326531
Metropolitan,2009,"Jefferson County",CO,us-co-059,0.07129461465572
Metropolitan,2009,"Larimer County",CO,us-co-069,0.06262295081967
Metropolitan,2009,"Mesa County",CO,us-co-077,0.08368771857141
Metropolitan,2009,"Park County",CO,us-co-093,0.06951585261354
Metropolitan,2009,"Pueblo County",CO,us-co-101,0.08185630266736
Metropolitan,2009,"Teller County",CO,us-co-119,0.0754607818828
Metropolitan,2009,"Weld County",CO,us-co-123,0.08179293012797
Metropolitan,2010,"Adams County",CO,us-co-001,0.1003027055644
Metropolitan,2010,"Arapahoe County",CO,us-co-005,0.08574376905259
Metropolitan,2010,"Boulder County",CO,us-co-013,0.07037870024017
Metropolitan,2010,"Broomfield County",CO,us-co-014,0.07419620774938
Metropolitan,2010,"Clear Creek County",CO,us-co-019,0.08109550062244
Metropolitan,2010,"Denver County",CO,us-co-031,0.09110733910642
Metropolitan,2010,"Douglas County",CO,us-co-035,0.06957758281383
Metropolitan,2010,"El Paso County",CO,us-co-041,0.09346801258864
Metropolitan,2010,"Elbert County",CO,us-co-039,0.08059584476676
